Index,,text
574,,when i woke up the morning of my 10th birhtday with my mom holding a gift for me.
575,,I woke up rested after a full night's sleep.
576,,Woke up this morning to the yummy smell of coffee  brewing.
577,,"Woke up early and sat in the warm patio, drinking coffee and watching the pouring rain."
578,,Was called for a job interview.
579,,Early morning I went for walking and found a small puppy and i brought it to home very happy for that
580,,I spent hours this morning watching my kids sleeping; they are angels.
581,,"When my husband came home from work, my 11 month old baby walked over to him and gave him a hug."
582,,"Today was the most amazing day of my life, at 5:33 pm my child was brought to this earth, hes a healthy baby boy named Evan"
583,,Seeing my newborn for the first time
584,,I got to spend time with my special loved one.
585,,Spending time with the hubby.
586,,I played at the park with the kids today!
587,,I gave a meeting and my colleagues and boss congratulated me on my good work.
588,,"At a concert, 10 rows back, beautiful summer night"
589,,See the face of my 3 year old daughter at sunrise
590,,I went for a short trip with the person that I love today.
591,,Unexpected presents or gifts.
592,,I got accepted into my university of choice.
593,,"Played soccer, scored and assisted and we won!"
594,,"I had a good nights sleep, and woke up refreshed."
595,,When My Family Visited Me.
596,,I reached out to my military community for some help and I have received a lot of good advice and leads.
597,,"Today i met met with Stacy, we had lunch, we talked it was so nice."
598,,I saw my children's happy faces when I woke up in the morning.
599,,I floated and tanned in the pool today.
600,,"It was very cool when I walked the dog this morning, felt great!"
601,,I had some really good food that I've never tried before.
602,,"I smiled as Sven played on the swing this morning, being a father brings such joy."
603,,Drinking a cup of tea after dinner.
604,,"Waking up to arms wraped around me, and a soft kiss from my love."
605,,THe begining of my run when there is just a tiny breeze and it feels amazing.
606,,I visited my grandmother today.
607,,Woke up in the morning and saw my son Tony smiling at me.
608,,Everyone was very happy at work today because we all just received the big news that we will soon get a big raise on our weekly paychecks.
609,,"I woke up to the sound of my daughter voice today, ""Daddy, Are you awake""?"
610,,i worked hard today
611,,"After work, I went to a local food festival and got some delicious sandwiches and desserts"
612,,Teresa bought me two hamburgers and put a candle in them for my birthday.
613,,The Mets won a baseball game.
614,,I played with my boy until it was time to go to daycare.
615,,It was Melanie's first day of kindergarten today!
616,,I went to a romantic movie with my boy friend this Sunday evening.
617,,I went at Starbucks to grab a coffee and served by my favorite barista.
618,,The hills were beautiful and sunlit as I drove to work today and it lifted my heart.
619,,Went for a hike with my friends;feeling excited.
620,,"Last night I went to the store to buy a new pair of shoes, this really made me happy because it's always nice to get new things."
621,,Came into work and had no traffic on the road today
622,,Going to sleep with sweet memory of Mary who appreciated my score in Hindi when we were studying in Class V (1986) and never met since completing primary school.
623,,Today is my besties marriage party.
624,,"My husband made a cake for me for my birthday this morning, so sweet."
625,,I got home after a long day of work.
626,,Lunch with the colleagues at office is one of the best happy moment because all my colleagues in my circle are very jolly so in conversation with them makes me happy
627,,I went for a walk at the beach this morning.
628,,I enjoyed my morning coffee while my cat purred on my lap.
629,,my happy moment is the time i reach home and my daughter runs to me to give me a hug
630,,I just ate a chocolate rice crispie treat.
631,,I woke up next to my wife and looked forward to the day.
632,,I managed to go to the farmer's market and buy honey today!
633,,Waking up my day off with my dog by my side.
634,,got a big promotion yesterday.
635,,I checked my bank account today and my mother transferred in some money just for expenses.
636,,I got to spend time with my dear family today!
637,,"Woke up freeling refreshed this morning, my girlfriend had coffee brewing and the smell made me feel delighted and refreshed."
638,,I finished work early today and was able to get home sooner than expected to get some well earned rest and relaxation.
639,,Had a bowl of bacon at a bar that I like.
640,,Waking up to a nice cup of coffee made by my spouse.
641,,My daughter didn't wet the bed last night.
642,,That glad moment when my kid calls me Mom.
643,,I made some very delicious tomato soup today.
644,,I arrived in the Bahama's today.
645,,"Got up before the sun came up, made a cup of tea, and sat on the front porch before the heat arrived."
646,,"Coming home from work, my dog waiting at the door for me."
647,,Today I woke early enough to study before work.
648,,I got paid.
649,,As I drove to work the full moon showed through the clouds and lit everything up.
650,,Drinking my morning coffee looking out the window
651,,I woke up this morning and watched a beautiful sunrise!
652,,I asked my fiance to marry me.
653,,When my puppy gave me a hug.
654,,So happy the kids are off to school.
655,,"Early in the morning, after breakfast, going outside with my two year old son to do morning chores on the farm and watching him explore."
656,,I went to the movies with my kids yesterday.
657,,My 4 year old daughter was able to do her own hair today.
658,,I taught my puppy how to fetch last night.
659,,"Woke up to a bright sunny day, had a cup of coffee and watched the birds!"
660,,"This morning so early, i love waking up early."
661,,I saw my child walking for the first time today.
662,,The rain was sprinkling outside the window.
663,,I always love waking up to my sweet baby's smiling face.
664,,I was in pain and my wife came to my office to bring me some painkillers.
665,,It's my birthday
666,,when i spoke with my hubby first time i feel lot of happy
667,,ran 3 miles today
668,,when i passed online exam iwas very happy
669,,"Waking up with the sunrise, holding a cup of tea and looking at the beautiful world outside."
670,,My son wakes me up with the biggest smile on his face.
671,,I played golf in the early morning by myself.
672,,I woke up early and had a delicious bagel for breakfast and managed to watch the sunrise.
673,,"I woke up to a bright, sunny day."
674,,Found out I passed NAPLEX
675,,"Today I got to spend the whole day with my children,just sitting around and watching cartoons with them best day with them"
676,,Laying with my girlfriend and spending time together.
677,,The day when I have been told that that I will be a father.
678,,I had lunch with an old friend who I hadn't seen in three years.
679,,"Today, I went shopping with my mom."
680,,I stayed home the entire day and had the pleasure of eating four Rice Krispies Treats.
681,,I had a happy moment when I oke up and had my coffee.
682,,"I ate a freshly baked, warm muffin."
683,,BEING WITH MY FRIENDS
684,,When I wake up in the morning to talk to my boob <3
685,,"The dogs woke me up and said ""good morning"" by wagging their tails and giving me kisses!"
686,,"we had a great time last night, we definitely got to go out with the crew again soon"
687,,I received several very nice compliments about a project I did.
688,,CUDDLING WITH MY CHILD THIS MORNING.
689,,There was a lovely sunset this evening.
690,,I went grocery shopping & was able to buy my favorite foods.
691,,Had a delicious breakfast my fiance.
692,,when i woke up in morning receive message from my love .
693,,When I woke up early before running and felt fresh
694,,Bringing my daughter to school always brings us closer together.
695,,I cuddled with my dogs this morning.
696,,i got championship trophy in my school level.
697,,Having lunch with my youngest and talking about the upcoming school year.
698,,Oh boy there's coffee and bacon waiting for me when I woke up this morning!
699,,I received an invitation to interview for my dream job.
700,,My girlfriend sent me a text telling me she loves me when she woke up.
701,,Fun Day with the kids today.
702,,After so many days of planning I finally went to the new restaurant with my partner.
703,,Jojo & Stitch making friends with another dog while on their walk.
704,,I was playing with both of my boys.
705,,My girlfriend sent me a package with my favorite candy in it.
706,,Seeing my friends.
707,,My wife just made chocolate chip cookies!
708,,I didn't have work this morning and felt happy that I didn't have to face any kind of anxiety.
709,,My happy moment today was taking a cold shower after not having done anything all day.
710,,I celebrated my friend's birthday today.
711,,"Toaday,Going out with girlfriend"
712,,"Sitting on a beach at sunset, watching the waves roll in and feeling the cool ocean breeze flow through my hair."
713,,Awesome studio session with Carl today.
714,,I went for a run today and ran my fastest mile ever.
715,,Got my 1st puppy today from the pound
716,,"Today,I was able to concentrate between my eyebrows during meditation."
717,,I received a great evaluation at work today.
718,,i went for a one mile jog earlier
719,,I woke up this morning and my room smelled like my candles I purchased yesterday.
720,,I talked to my girlfriend who lives in another state today for a couple hours.
721,,I enjoyed my morning coffee while checking emails.
722,,I found a dollar on the sidewalk.
723,,When i get a brand-new Part for my computer.
724,,Met Abby's new teacher today!
725,,We had a lovely time at the beach.
726,,I took a relaxing nap on the beach today.
727,,Watching my son playing a game and he is doing very good.
728,,"yesterday I went for a trip with my old friends,feeling awesome"
729,,"Came home to see my dog, he loves me so much."
730,,No crying at drop off this morning.
731,,"Went to starbucks and got a nice, big, yummy coffee."
732,,Got a personal record in my bench press this morning at my workout.
733,,at last finished with the application process for my dream university.
734,,"Today on my way to pick up dinner, I heard my current favorite song twice."
735,,I kissed my girlfriend in the hot tub
736,,Found $5 in the street!
737,,Saw the sunrise over the ocean.
738,,I greeted my children this morning with hot pancakes and fresh fruit.
739,,My girlfriend wore a a traditional dress just to make me happy.
740,,Waking up each morning and fighting for what it is I believe in!
741,,I woke up in the early morning and had time to go to beach with my dog Brownny
742,,Yesterday my puppy behaved very nice and waited patiently for his food.
743,,Going for a morning run
744,,"Happy moment for our country and me,the quarter final is just over and one of our players entered the semifinal of women's shuttlecock in the Rio Olympics beating the world No 2."
745,,Got a kiss from the love of my life before he left for work.
746,,Just stepped out into the beautiful morning with my first cup of coffee.
747,,I got to sleep in this morning.
748,,I had a great night out with my family today.
749,,"Got up early morning, a session of yoga relaxed me"
750,,I watched a great TV show while petting my cat today.
751,,I was just laying down watching some tv
752,,"My first job as data base administrator , which related to my field."
753,,When the joke I said that make friends smile.
754,,Enjoying newly released movie at Imax cinema today.
755,,Had a great time in Laughlin partying with friends by the Colorado River last Monday.
756,,I got to cuddle with my dog for an hour this morning.
757,,"This morning i woke up to my puppies kissing me, and it made me very happy."
758,,This morning as I woke up I felt very well rested.
759,,I fed my newborn as the sun rose this morning.
760,,"Took a nap this afternoon, very relaxing."
761,,Waking up to my puppy licking my face.
762,,"I was greeted at the door by George with a kiss and a warm, heartfelt hug and it made me feel loved!"
763,,My son and I played with his cars this morning.
764,,Someone surprised me today by sending me my favorite roses.
765,,I really liked the way my cooking tasted today.
766,,"Woke up very early in the morning seeing her lying close to my side,was so happy."
767,,Had lunch with my friend and had a good catch up talk.
768,,I relaxed in bed.
769,,Drinking morning coffee with my wife.
770,,"Awake before anyone else, I sat at the table with hot coffee and relished the peace and quiet before the beginning of a busy day."
771,,Watching the sunset over the Eiffel Tower.
772,,I did well on my workout today.
773,,Remembering my wedding ceremony.
774,,I watched a movie with my husband.
775,,I found $10 in the pocket of an old pair of pants.
776,,"I jogged a long distance today, longer than I have before."
777,,"Today I treated myself to a sushi lunch, which is one of my favorite meals to have."
778,,Went to the gym early this morning and swam in solitude before the sun rose while the children continued their peaceful slumber.
779,,I went to the beach with my wife yesterday.
780,,We had our first baby today and it is a girl.
781,,I gave birth to my daughter and no words can explain the beauty and importance of giving life to a baby.
782,,Watching my girls go off to school happy.
783,,I made a lunch out of leftovers and things I had in the fridge - it was surprisingly delicious.
784,,I just ate the best muffin which I havn't had for at least a year.
785,,I played a round of golf on a beautiful day.
786,,My boo and I and ate a delicious dinner at a Mexican restaurant we had never tried before.
787,,Explored a new beach today!
788,,I felt very happy when my fiance proposed to me in a nice hotel room on Valentine's Day.
789,,I finished a large project yesterday and sent it to the customer.
790,,Watched a movie with my dad.
791,,I had a tree cut down that was dangerous.
792,,I am very happy to commute to my office in my bike in the bright and beautiful sun.
793,,When Arz accepted to be my girlfriend when I desperately asked her in 1994.
794,,Waking up in the morning and feeling the warmth of my bed and blanket.
795,,When my son wakes up in the morning with a cute little smile and call me mamma.
796,,Waking up beside my soulmate this morning.
797,,I walked down the street this morning and smiled at a person that passed and they smiled back.
798,,I went to the Ice Cream Shop today and the cashier gave me my sundae for free!
799,,"On a boat watching the sun go down, calm happiness."
800,,I ranked up in league of legends.
801,,"I had breakfast with my girlfriend this morning, we shared a nice convorsation"
802,,I went to the beach with my boyfriend and his cousin and brother.
803,,love too wake up alive
804,,I went shopping at the mall.
805,,my happy moment was that went i saw my baby for the first time after the birth.
806,,Yesterday I had a great steak dinner
807,,Going to the state fair and seeing the animals.
808,,"After waking up, going for a jog."
809,,I went to the book store today and finally arrived my book.
810,,My happy moment was when my grand daughters came to visit last week.
811,,"This morning I woke up, in my comfortable bed, feeling so great that I decided to sleep in."
812,,Played Pokemon Go with my family.
813,,walking in the door after work and seeing my dogs
814,,My girlfriend finally doesn't have to work a double today.
815,,"After 3 months of waiting, the results for advancement are revealed, an I was promoted to the next highest rank."
816,,"Early morning went to hill station where rain started and sky was in dark blue, felt so romantic with awesome weather"
817,,I Just got off work!
818,,The woman I'm dating mentioned that she's been having wonderful dreams about me.
819,,Today I am very happy because my brother going to abroad
820,,"I saw my boyfriend this morning, he hugged me and I felt so happy and energized."
821,,My 2yrs daughter gave me a good morning kiss and said good morning mama.
822,,"I took my dog out for a walk as the sun was setting, his happy face filling me with joy."
823,,Yesterday I went to a concert and I think I met the love of my life.
824,,"Had a good workout today, felt refreshed."
825,,Can’t wait to tell my mom that our youngest brother will be home tomorrow.
826,,Being awake when everyone else is asleep.
827,,Eating diced fresh cantaloupe; I feel grateful.
828,,"The birds were chirping in the woods while i was conversing with her, she lit up my dull day by telling me that she was addicted to me."
829,,I had a great cup of coffee.
830,,I am really enjoying to work in my office because my colleagues are very co-operative and I can see lot of smile on their faces which in turn gives me lot of energy to achieve my target.
831,,"This morning, my boss praised me for the recent work I have been doing."
832,,"Wake up by hearing the birds sound, have a nice coffee, a day starts in nice way."
833,,I felt productive and energetic most of the day.
834,,Jeff made me breakfast this morning: creamy scrambled eggs and a huge mug of tea.
835,,We're ready for kindergarten!
836,,"I wake up fully rested from my slumber, the I see the blue sky rise, which has my favorite shade in the morning, and my fan blows on me at it's highest setting, until I either fall back asleep or get up."
837,,"Coffee in bed, always my favorite morning ritual."
838,,"My son started school today, so happy and proud of him!"
839,,"I saw a good samaritan help someone in need, made me feel happy."
840,,"This morning, my wife and I realised we seem to be more in love than ever."
841,,"It was a nice morning, not to hot, not to cold"
842,,The city alert to boil water was lifted--freedom to use tap water is a happy moment.
843,,"When I got my pizza delivered, they told me that the extras were on the house for the great customer I am."
844,,I had lunch with mom today.
845,,early morning before i wake up i had a wonderful dream in which i 'm the king of the country.
846,,I got to go to the Tiger game last night and get a hot dog and an elephant ear.
847,,I turned and everyone stood to see my bride coming down the aisle.
848,,took a long walk with my dog
849,,I did something special for someone.
850,,Waking up every morning.
851,,I had lunch with my partner today.
852,,"I slept in, played basketball all day with the guys, and picked up beer for tonight."
853,,Listening to new music.
854,,He asked me to be his girlfriend!
855,,I went to a new restaurant with one of my best friends.
856,,Feeling Happy and satisfied while having the lunch with colleagues who brought my favorite dishes at office.
857,,"Talking to my love over phone , feels awesome."
858,,Won match against other team in a cricket match.
859,,Today someone held the door for me and said that I looked handsome.
860,,Cuddling my cats when I wake up in the morning.
861,,I went to beach with my best friends.
862,,"When I came home from school, my mother made me my favorite food."
863,,I played football with my kid today
864,,Having spent some time at the cafeteria and finally asked Ashley out on a date.
865,,"I played Battlefield Hardline for four hours in the afternoon with some popcorn, it was really fun."
866,,Yesterday I fixed my LCD television for less than $13 and 2 hours of work.
867,,My daughter gave me the biggest hug this morning when she woke up.
868,,"Completed an book morning, which was half read and kept aside for more than a month."
869,,I go lottle cinema and I meet my old -friend
870,,I got my paycheck and was able to cover all of my bills.
871,,MY favorite person texted me after weeks of being gone.
872,,A get together with my school friends yesterday.
873,,My friend got me coffee and left it on my desk.
874,,"family picnic, parents children and grandchildren all together laughing and joking."
875,,Working out with your partner
876,,"Yesterday myself and my close friend compromised each other for our fight, really a happiest moment."
877,,I enjoy getting home from work and laying on the couch and watching netflix.
878,,when find my lover as a life patner
879,,I played with my cat and he was in a happy mood.
880,,Thinking about how my new Crepe Myrtle will look after I have planted it and it is settled in.
881,,The family and I went to a cenote and swim.
882,,My daughter and I cooked dinner then watched TV together.
883,,I had a enjoyable family meal.
884,,I met my girl friend in a modern dress.
885,,Enjoying a delicious meal after trying a new recipe.
886,,Finally getting home to my own bed after being away on a long airplane trip
887,,When i won $1000 on a $5 lottery poker ticket/scratcher i was very happy this the most amount i ever won in my life.
888,,I got to see a rainbow after a short rainfall.
889,,I bought a movie I had been dying to see.
890,,One of my long-lost piano books was in the car!
891,,I found out that I got a bonus in my paycheck.
892,,My daughter catching me sing our favorite song from a cartoon we watch together.
893,,I got up on the weekend to go get delightfully sweet donuts from the local bakery.
894,,I went for a walk around the neighborhood last night.
895,,Eating my first cupcake in years
896,,I got up earlier than usual and had a productive start to the day.
897,,I was able to buy that statue I wanted.
898,,"Summer is gone, weather is pretty good nowadays."
899,,Walking down the street right as the sun is setting.
900,,"Now I'm having a great time with my son playing videogames with him, we laught a lot."
901,,Silly cat videos are the best way to de-stress and smile after a tough client call.
902,,I went for a long walk and enjoyed the sun.
903,,Yesterday my husband gave one gift for me
904,,Work went by smoothly and my colleagues complimented me.
905,,I just found out the I was the top salesman of the month.
906,,Yesterday took a bath with hot water after a hard work day
907,,I went out to dinner with a bunch of friends today.
908,,I watched pokemon on my laptop.
909,,i realized that positive thinking leads to healing of sickness
910,,Today I had an ultrasound of my unborn baby!
911,,"The first cigarette of the morning, stepping into the sunlight outside and enjoying a beautiful morning."
912,,"Early in the morning today, I went to the beach with my family and took great sunrise photos for my project."
913,,I was happy as I watched my daughter doin better hw
914,,My husband had put my favorite treat in the refridgerator.
915,,I love it when my favorite TV show comes on just as I sit down!
916,,Father was promoted at work to a supervisor position.
917,,At the gym this morning I set a new personal record for my 1 mile run.
918,,My friends and i went to the parking lot and got tipsy
919,,We had breakfast on the beach.
920,,Angel is so cute that it makes me laugh when she runs as fast as she can to greet Dad when he gets home from work.
921,,The first cigarette of the day.
922,,My husband cooked a delicious breakfast for me this morning.
923,,My boss told me I was valued and that I'm very competent.
924,,"Early Morning at training, the morning sunshine is energizing."
925,,"yesterday i planned for monthly dayout to goa,felt excited."
926,,No traffic on the way to work.
927,,I had a happy moment when my husband gave me a birthday card last night.
928,,"I had the most delicious breakfast today, bread with peanut butter and honey, it tasted amazing."
929,,I enjoyed pushing my daughter on the swings at the park this afternoon.
930,,"Sunday ,all family members come together for family discussion"
931,,When I drank my green juice today in the morning I felt very energetic.
932,,I made a 100 dollars on a baseball bet.
933,,I hit the clean sheets with naptime gusto.
934,,We went to the beach.
935,,It was wonderful to be a part of my loved ones on this amazing tour.
936,,I got a lovely card in the mail unexpectedly from a dear old friend!
937,,Yesterday after a long time I see my school mate and I am excited and happy.
938,,I celebrated my cute sister's birthday today.
939,,Think about my grandbaby who is starting kindergarten and all the fun we've had together for the past 5 years.
940,,"Was expecting a big traffic mess, but got to work in record time."
941,,I didn't pay the taxi because the driver thought i was pretty.
942,,Opening the fridge to see prepared food for me from my girlfriend.
943,,I talked to a elementary school friend the other day and the conversation was really fun.
944,,When my children want morning snuggles for just those few seconds every morning .
945,,Yesterday my husband took for movies.
946,,Swung my new born son in his baby swing this afternoon.
947,,Nothing beats being greeted in the morning with a fresh cup of coffee from my partner.
948,,Got the windows cleaned and carpets shampooed - getting ready for winter!
949,,My daughter and I washed her new sheets for her college dorm.
950,,My little sister left for her first year of college.
951,,Getting paid from work.
952,,"It was a cool, breezy morning and I walked to work in perfect weather."
953,,Watching Game of Thrones with my friends.
954,,My sweet sister brought me a steak and potato because she thought I wasn't getting enough to eat since my wife is out of town.
955,,I went on a date with someone on Tinder and he was better looking in person.
956,,When my son was born.
957,,"Last month , when i got my letter of acceptance to my university, all my family gathered and we all celebrated ."
958,,Seeing my children's smiles when they first awake to then cuddle with me in recliner.
959,,My wife gives me a massage after work.
960,,I went for a walk in the park with my dog.
961,,Full family attends my grand daughter's school annual day celebration.
962,,All of my colleagues left the office before 5 pm and so at last I have couple of hours of pure concentration on work.
963,,I enjoy the smell of brewing coffee first thing in the morning.
964,,"My amazon account was approved today, which was nice."
965,,Gave two shirts to my friend who was poor and he accepted it very happily which makes me happy.
966,,I rode bike through the park to the museum.
967,,We all sat in front of the TV this morning and watched a comedy skit that made us all laugh.
968,,my daugther  got 1st rank with full total
969,,I was able to recover files that I accidentally deleted on my computer today.
970,,We had a picnic as a family on a beautiful day.
971,,My nephew and me went to the park today and we played.
972,,I had lunch with my girlfriend at a nice restaurant.
973,,I got honked at walking down the street.
974,,Getting a promotion in work.
975,,I watched my girlfriend play Pokemon GO during our ride to the store.
976,,I worked on research with a colleague and we made new progress.
977,,Having fresh flowers in my living room
978,,"My two year old finally calls me daddy before leaving the house today, felt so much love from her, put a smile on my face."
979,,I felt proud of my children for being such good kids.
980,,"An Unforgettable day,my sister called me,  i became an aunt of a baby boy ."
981,,"When I was on top of a hotel, looking at the city below me."
982,,I had a yummy lunch.
983,,"When i was on facebook i noticed new foto of my friend with her newborn baby, wished them a good luck on their new journey."
984,,I provided comfort and support for a close friend today.
985,,"My book might reach 15,000 new clients by the end of this month, super excited!"
986,,I went shopping with my family.
987,,I had a very nice conversation with my boyfriend.
988,,I loved meditating today.
989,,Got to class on time and understood every slide in the lecture.
990,,My daughter came into my bed for a cuddle this morning.
991,,"Some money that was due to me but was only expected years down the line actually came in to my account this month, this was a pleasant surprise."
992,,I went outside and the sun was shining and it was beautiful.
993,,i woke up to peaceful  raindrops at my window  pane
994,,Read a book to my child that my child chose from the shelf.
995,,Got a lot of work done today.
996,,IT WAS VERY RELAXING TO COME HOME AFTER A LONG DAYS WORK.
997,,Last night I received a friend request on Facebook from a long lost love.
998,,My girlfriend smiled at me first thing in the morning and said I love you.
999,,Met my mother for brunch at one of our favorite restaurants on my lunch break.
1000,,I saw an old friend who had left the country for a while.
1001,,"When I woke up, I had a text from that girl I like."
1002,,My dog was so excited to see me.
1003,,Got props at work from my  manager's boss.
1004,,Went for a nice walk with the breeze blowing in my hair.
1005,,What a wonderful day we had today at the race track.
1006,,It was rainy today but the weather was great later in the evening.
1007,,It's my birthday and I want to party.
1008,,My old classmate called me on my mobile.
1009,,"This morning I woke up fully rested, which is very rare!"
1010,,"After a long hard day of work, I came home to a delicious home cooked meal and I watched one of my favorite movies."
1011,,Having that first cup of coffee to perk you up.
1012,,My wife prepared my favorite dosa for breakfast.
1013,,Passing my speed tests in school.
1014,,Coming back from work and having dinner with my partner
1015,,My wife and i finally got to spend some adult alone time last evening.
1016,,My new phone came in the mail today.
1017,,"The hike I went on was peaceful and serene, like I've always remembered."
1018,,I taught my niece about panda behavior in their natural habitat.
1019,,"Last night, I had a breakthrough on a story I was writing, and solved a little problem."
1020,,On the 25th of each month i get really excited seeing my bank credit alert.
1021,,"The wind is calm and cool, but neither hot nor cold."
1022,,I took a nice and relaxing shower.
1023,,"Chatted with my parents, glad they're doing well."
1024,,Cool climate made me energetic and fresh and mad my day lucky.
1025,,i made coffee today.
1026,,It was my day off and the sun was shining.
1027,,old memories shared with pics with school friends group on whatsapp
1028,,I went to the park with my kids.
1029,,Waking up and making fresh coffee is such a good start to my day.
1030,,I loved going to the botanic garden with my wife and taking lots of pictures and making happy memories.
1031,,"I met someone special yesterday, it makes my heart race."
1032,,Sleeping.
1033,,I made delicious spaghetti.
1034,,Yesterday evening my husband and myself sat together and had a cup of coffee.
1035,,I finished lesson two of my programming class yesterday.
1036,,"Its a humid, rainy day today."
1037,,made 100k plays in music
1038,,I rode a roller coaster for the first time.
1039,,Enjoying the sun & a great book at the beach.
1040,,"While washing dishes, a song I love came on the radio, and I sang along while I worked."
1041,,I had a warm cup of tea while reading a book.
1042,,Today I woke up feeling refreshed.
1043,,Hanging out with my kids after a long day at work
1044,,My best friend got his dream job today.
1045,,"Saw my son score a touchdown yestetday, fill with joy."
1046,,I like to wear saree infront of my husband
1047,,Today I got to speak with my friends who I've been away from for months.
1048,,That moment at the end of the day when the barber below my house goes home and shuts of the radio and it all nice and quiet.
1049,,Got to spend the day relaxing with my husband today.
1050,,india got the medal in rio olympic on 8th day
1051,,"Today i my birthday, Im feeling very happy an looking forward to a party later"
1052,,"Realizing that I can do anything I want, whenever I want, because I'm an adult is so freeing!"
1053,,Eating a meal with my significant other and discussing our days.
1054,,At the gym after work today.
1055,,"Yesterday, I received a gift from my best friend, I was surprised."
1056,,I ate a healthy lunch with a friend.
1057,,My national team scored  one more victory in the olympics.
1058,,I had the most wonderful Thanksgiving with my family.
1059,,Buy a new motorcycle.
1060,,family dinner
1061,,"I found $10 on the sidewalk near work, felt lucky."
1062,,"My husband pulled in the driveway at the end of the work day, I treasure the time we have together everyday."
1063,,Watched my daughter tenderly kiss my belly and tell her baby sister she loves her and wants her to come out and play.
1064,,I left work yesterday smiling as I got two good reviews on my phone sales calls
1065,,Finally got some much needed organizing done!
1066,,my happiest moment is when i heard news that i am going to be daddy.
1067,,That feeling when I turn down my street after a hard day at work.
1068,,"Such a beautiful, clear morning when I left the station today!"
1069,,I got to spend time with my awesome niece today!
1070,,I was able to get a raise at work today
1071,,Finally fulled moved into our new house today.
1072,,"Today, I did stayed home all day and played video games."
1073,,"The day my husband and I got married was one of the most joyous occasions in my life, next to having our beautiful daughter."
1074,,"When am alone in the office, it quiet and peaceful."
1075,,I was so happy when i haf the chance to meet my favorite rapper plies in july of 2011 and that wasnt the only time i did hang with him but that was a moment for life
1076,,I go to the gym and feel a bit better about taking care of myself.
1077,,I found a free Sherlock Holmes collection on Amazon.
1078,,"My dog woke me up this morning, he was very energetic and happy to see me."
1079,,Yesterday I met my old friend after two years.
1080,,I finally finished making my quilt.
1081,,I ate pizza today.
1082,,I went to play squash after a long time with my friend.
1083,,My son called just to say I love you.
1084,,I woke up early this morning and I meditated before going to class.
1085,,I realised when I got into work that I didn't have as much to do as I thought.
1086,,Sipping hot coffee in the morning.
1087,,I went to the community pool and had it to myself.
1088,,Visiting with my kids after school.
1089,,"After my workout, I exhaled with confidence in knowing I gave it all I had."
1090,,Last night I met some wonderful people.
1091,,My sweet little girls jumped right out of bed for the first day of school!
1092,,"A butterfly flew around me in the garden, it was really pretty."
1093,,At night time I cook dinner and drink alcohol.
1094,,Meeting my best friend after a long time.
1095,,Got a new friend in GYM yesterday who was so nice.
1096,,Having campfires on the beach.
1097,,I went out with my girlfriend to see a movie.
1098,,Work went smooth and easy today without any hassles.
1099,,My sister came over for a girls night.
1100,,I got a new job working as a teacher.
1101,,I really happy when i got lip kiss to my wife.
1102,,my wife surprised me with a little gift for our aniversary
1103,,I started working out recently and was finally able to achieve a personal goal of mine: I was able to bike for 30 minutes straight without any rest.
1104,,I found out that my sister is going to have a baby!
1105,,Went swimming in a friend's mom's pool on an incredibly hot day.
1106,,At the rainy time will see the rain falls
1107,,"My coffee, my wife, my daughter, the best part of my day."
1108,,I got a high score on my favorite game.
1109,,I am cooking supper for my family.
1110,,I went canoeing with my girlfriend.
1111,,"Listening to music out loud, singing the songs."
1112,,Even though yesterday was a hard day of work we got to eat dinner at my favorite place and that's always a good thing.
1113,,I had a delicious salad for lunch that was very filling and tasted great.
1114,,I was happy again today 3:00 p.m. when more hits on mturk were posted that i like to work on and i got 10 of those hits completed.
1115,,I went in a date with a person I really like.
1116,,Today I witness the miracle of birth.
1117,,aargh i remember when i pass my high school exams with good grades my parents are so happy and the proud on thier fae for me make my whole day beautiful
1118,,I love when my bulldog lays on my lap.
1119,,I found out my wife was pregnant
1120,,Riding my bicycle on the trail putting in 10 miles non stop.
1121,,I went to my favorite cafe during lunch
1122,,"I went swimming today, it was a lot of fun."
1123,,Purchased a new book from a favorite author today
1124,,MYSELF AND MY DAUGHTER WALKED 2 KM SPEAKING JOVIALLY
1125,,Having fun on Friday with my friends at my house having some drinks and opening up about life really made me happy.
1126,,My girlfriend surprised me by cooking me dinner when I got home.
1127,,It was so nice to see R for lunch and a shopping trip.
1128,,Seeing my daughter be so excited for school makes me feel so proud.
1129,,I beat my high score on a game.
1130,,I spoke with the hottest chick in the office finally.
1131,,"Instead of taking the bus, I walked home and enjoyed the warm weather."
1132,,"I just weighed, and see that I lost two pounds this week!"
1133,,Ride my horse and feel the air on hair as I walk through the forest is undoubtedly one of my happiest moments
1134,,"Free and delicious lunch at work, everyone is happy."
1135,,My boyfriend made me coffee while I was getting ready this morning.
1136,,I cant believe how beautiful the beach was.
1137,,I got lots of hits today on mturk and made $10.
1138,,I mad more money than I expected today!
1139,,I'm thankful for the opportunity to rekindle memories with my former colleague.
1140,,I talked to a cute girl in the library and got her phone number .
1141,,"i won the lottery yesterday,"
1142,,The light falling through the window this afternoon was the first hint of Fall
1143,,I was able to spend a little extra time with my son today.
1144,,I was able to help my mother resolve a difficult financial issue that she had today.
1145,,It is beautiful outside today.
1146,,I went to TJ Maxx and I bought some clothes for my daughter.
1147,,"Two days ago a country woman won a silver medal at the Olympic games in Rio, Brasil."
1148,,When I  met my school friend after a long time.
1149,,I was struggling to figure something out and my colleague went out of their way to help me.
